,node
1771,BAAL II
1772,BACILLUS
1773,"BADALAMENTE, JESUS"
1774,"BADALINO, LT. MICHAE"
1775,"BAILEY, GAILYN"
1776,"BAILEY, JOEY"
1777,"BAILEY, SARA GREY"
1778,"BAIRD, DR."
1779,"BAKER, ANNE-MARIE"
1780,BAKER
1781,BALABAN/
1782,BALDER [ASGARDIAN]
1783,"BALDWIN, JUSTIN"
1784,"BALDWIN, MADELYNE MA"
1785,"BALE, EMERSON"
1786,"BALLANTINE, DEVON"
1787,"BALLANTINE, KAYLA"
1788,"BALLANTINE, MR."
1789,"BALLANTINE, MRS."
1790,BALOR
1791,BAMBI
1792,"BANCROFT, MARTINE"
1793,BANDIT/
1794,"BANK, IRVING"
1795,"BANKS, SHARON"
1796,"BANNER, BETTY ROSS T"
1797,"BANNERJEE, DR."
1798,"BANNON, LANCE"
1799,BANSHEE 2013
1800,BANSHEE II
1801,BANSHEE/SEAN CASSIDY
1802,BANTAM/
1803,"BANTOCK, LT. OLIVER"
1804,"BAPTISTE, TANTE MATT"
1805,BARAK
1806,"BARBAROSSA, MARIO"
1807,"BARBAROSSA, VINNIE"
1808,BARBARUS
1809,BARIUM
1810,BARKER
1811,"BARKER, MATTHEW T."
1812,BARNACLE/
1813,"BARNETT, MIKE"
1814,BARON BLOOD II/VICTO
1815,BARON BLOOD/JOHN FAL
1816,BARON BRIMSTONE/
1817,BARONESS ZEMO/HEIKE
1818,BARON MACABRE/
1819,BARON MORDO/KARL MOR
1820,BARON SAMEDI
1821,BARON STRUCKER/WOLFG
1822,BARON ZEBEK
1823,BARRACUDA/
1824,BARRAGE
1825,"BARRANCO, MARIA ESME"
1826,"BARRENOS, OMAR"
1827,B'ARR
1828,BARRIER/
1829,BARRINGTON
1830,"BARRON, RICK"
1831,"BARROWS, WALTER"
1832,"BARTLETT, STU"
1833,"BARTON, SEN."
1834,BARTOS
1835,BASALLO/LAVA MEN KIN
1836,BASALTAR
1837,BASILISK/BASIL ELKS
1838,BASILISK II
1839,BASILISK III/
1840,BATAL/
1841,BATROC/GEORGES BATRO
1842,BATTERING RAM
1843,BATTERY/
1844,BATTLEAXE/
1845,BATTLEAXE II/JEROME
1846,"BATTLE, MONTGOMERY"
1847,BATTLESTAR/LEMAR HOS
1848,BATWING/
1849,BAV-TEK
1850,"BAXTER, ABIGAIL"
1851,BAXTER
1852,"BAXTER, NOAH"
1853,"BAYLOR, FRANK"
1854,BAYMAX
1855,"BAZIN, ALLEGRA"
1856,"BAZIN, ANDREW"
1857,"BAZIN, BRODERICK RIC"
1858,"BAZIN, PHILLIPPE"
1867,"BEACH, GINGER"
1868,"BEACH, SPIDER"
1869,"BEALE, ERIC"
1870,BEAR/
1872,BEAST 2013
1875,BEAST DOPPELGANGER
1876,BEAST DOPPELGANGER I
1877,BEAST/HENRY &HANK& P
1878,"BEAUMONT, SPENCER"
1879,BEAUTIFUL DREAMER
1880,BEAUTIFUL DREAMER II
1881,BEAUTY
1882,"BECKFORD, NOEL"
1883,"BECKLEY, BENNY"
1884,"BECKMAN, CHARLES"
1885,"BECKMAN, JOSEPH"
1886,"BECKMAN, LISA"
1887,"BECKMAN, SARAH"
1888,"BEDFORD, BRAD HULK"
1889,BEDLAM II/OLISA KABA
1890,BEDLAM/JESSE AARONSO
1891,BEEFER
1892,BEEF/
1893,"BEERE, JASON"
1894,BEETLE/ABNER RONALD
1895,BEETLE II/LEILA DAVI
1896,BEETLE ROBOT
1897,BEHEMOTH
1898,BELASCO
1899,BELDAME
1900,"BEL-DANN, GEN."
1901,"BELGRADE, DR. HORATI"
1902,BELIAL
1903,BELLADONNA
1904,BELLAM
1905,BELLE
1906,"BELL, HERBERT"
1907,BENAZA
1908,BENCHLEY
1909,"BENDIX, DR. ALBERT"
1910,"BENEDICT, ANDREW"
1911,BENEDICT
1912,BENGAL/
1913,"BENJAMIN, BYRON"
1914,"BENNETT, DANNY"
1915,"BENNETT, MITCH"
1916,"BENNING, VERONICA"
1917,"BENNY, JAKE"
1918,"BENTLEY, MILES"
1919,"BENTLEY, VICTORIA"
1920,"BENTON, TERRY"
1921,"BENWAY, DR."
1922,"BERDITCHEV, ITZHAK"
1923,BEREET
1924,"BERENGHETTI, MICHAEL"
1925,"BERENGHETTI, SUSAN"
1926,"BERGER, PROF."
1927,"BERGIER, REBECCA"
1928,"BERGLUND, GEN."
1929,"BERKELEY, TRAVIS"
1930,"BERMAN, ADAM"
1931,BERNARD THE POET
1932,"BERNHARD, CLARICE"
1933,BERNIE
1934,"BERNSTEIN, DR. NOAH"
1935,"BERNSTEIN, EMMA WEBS"
1936,BERSERKER
1937,BERSERKER II
1938,BERSERKER III
1939,BERTRAM
1940,BERYL
1941,BERYLLIUM
1943,BETA RAY BILL
1944,BETA RAY BILL | MUTA
1945,"BETELHEIM, NORMA"
1946,BETTY-6
1947,BEVATRON/
1948,"BEYNON, DR. BRADLEY"
1949,BEYONDER
1950,BEYONDER | MUTANT X-
1965,B'GON
1968,BIANDU
1969,BI-BEAST
1970,BI-BEAST II
1971,BIG BEN/
1972,BIG BERTHA/ASHLEY CR
1973,BIG CASINO/
1974,"BIGGERS, MELVIN"
1975,BIG MAN/FREDERICK FO
1976,BIG ONE/KENJIRO SASA
1977,BILE/
1978,"BILLUPS, AGENT"
1979,BINARY/CAROL DANVERS
1980,BINARY | MUTANT X-VE
1981,BIOHAZARD
1982,BIOHAZARD II/FLETCHE
1983,BIRDBRAIN
1984,BIRD MAN/HENRY HAWK
1985,BIRD MAN III/
1986,"BIRD, TUESDAY"
1987,BIRDY
1988,BISHOP /
1989,BISON/BILLY KITSON
1990,BITMAP/
2005,BIZEN
2016,"B'KOSA, GEN. JONATHA"
2017,BLACK AVENGER/JERRY
2018,BLACKBALL
2019,BLACKBIRD/
2020,BLACKBODY
2021,BLACK BOLT/BLACKANTO
2022,BLACK BOLT | MUTANT
2023,BLACK BRIGADE
2024,"BLACK, CAL"
2025,BLACK CAT/FELICIA HA
2026,BLACK CRANE/
2027,BLACK CROW/JESSE BLA
2028,"BLACK, CYRUS"
2029,BLACK DEATH/DR. IVAN
2030,BLACK FOX II/
2031,BLACK FOX/ROBERT W.
2032,BLACK GOLIATH/DR. WI
2033,BLACKHEART
2034,BLACK HOLE/MORTON KI
2035,BLACKJACK/
2036,BLACK KING/SEBASTIAN
2037,BLACK KNIGHT III/EOB
2038,BLACK KNIGHT II/SIR
2039,BLACK KNIGHT IV DOPP
2040,BLACK KNIGHT IV/PROF
2041,BLACK KNIGHT/SIR PER
2042,BLACK KNIGHT V/DANE
2043,BLACK KNIGHT V DOPPE
2044,BLACK KNIGHT VI/PROF
2045,BLACK KNIGHT V STATU
2046,BLACK LAMA
2047,BLACK MAMBA/TANYA SE
2048,BLACK MARIAH
2049,BLACK MARVEL/DAN LYO
2050,BLACK MORAY
2051,BLACK MOUNTAIN/KUROY
2052,BLACKOUT II/
2053,BLACKOUT/MARCUS DANI
2054,BLACK PANTHER | MUTA
2055,BLACK PANTHER/T'CHAL
2056,BLACK RAAZER/
2057,BLACK RACER/
2058,"BLACK, RACHEL"
2059,BLACK RAZER
2060,"BLACKSHEAR, JONAS"
2061,BLACK SPECTRE/CARSON
2062,BLACK TALON/DESMOND
2063,BLACK TALON III
2064,BLACK TALON II/SAMUE
2065,BLACK TARANTULA II/C
2066,BLACK TARANTULA/LAMU
2067,BLACK TOM CASSIDY
2068,BLACKWELL
2069,BLACK WIDOW DOPPELGA
2070,BLACK WIDOW II/YELEN
2071,BLACK WIDOW | MUTANT
2072,BLACK WIDOW/NATASHA
2073,BLACKWING II/
2074,BLACKWING/JOSEPH MAN
2075,"BLACKWOOD, JENNY"
2076,BLACKWULF
2079,BLADE/
2080,"BLAIR, CALEY"
2081,"BLAIRE, CARTER"
2082,"BLAKE, BECKY"
2083,"BLAKE, DR. DONALD (C"
2084,"BLAKE, DR. DONALD"
2085,"BLAKE, EMILY"
2086,"BLAKE, KENT"
2087,"BLANDING, ANDREW"
2088,"BLANDING, HALEY"
2089,"BLANDING, MRS."
2090,BLAQUESMITH
2091,BLARE/
2092,BLASTAAR
2093,BLASTING CAP/
2094,"BLAZE, CRAIG"
2095,"BLAZE, EMMA"
2096,"BLAZE, ROXANNE SIMPS"
2097,BLAZING SKULL/MARK T
2102,"BLESSING, MORGANA"
2103,BLIND AL/ALTHEA
2104,BLINDSIDE II/BOBBI C
2105,"BLINK/FERGUSON, CLAR"
2106,"BLISS, BONNIE"
2107,BLISS
2108,"BLISS, MISS"
2109,BLITZIANA
2110,BLITZKRIEG/
2111,BLIZZARD II/DONALD G
2112,BLIZZARD/PROF. GREGO
2113,BLOB/FRED J. DUKES
2114,BLOCKADE/DEXTER PARI
2115,BLOCKBUSTER/
2116,BLOCKBUSTER II
2117,BLOCKBUSTER III/MICH
2118,BLOKE/MICKEY TORK
2119,BLOK
2123,BLOODAXE/JACKIE LUKU
2124,BLOOD BROTHERS
2125,BLOODHOUND/
2126,BLOODLUST
2127,BLOODSCREAM
2128,BLOODSHED/WYNDELL DI
2129,BLOOD SPIDER/
2130,BLOODSTONE/ULYSSES B
2131,BLOODSTORM | MUTANT
2132,BLOODSTRIKE/ERIC CON
2133,BLOOD-TIDE
2134,"BLOODVESSEL, BUSTA"
2135,BLOODWING [SHI'AR]
2136,BLOOD WRAITH/SEAN DO
2137,BLOODWRAITH/SEAN DOL
2138,BLOODY BESS
2139,BLOODY MARY
2140,"BLOTT, BRIGADIER INK"
2141,BLOWTORCH/
2142,BLUDGEON/
2143,BLUE BULLET/PROF. JO
2144,BLUE DIAMOND/PROFESS
2145,BLUE SHIELD/JOSEPH J
2146,BLUE STREAK/
2147,BLUNT
2148,BLUR
2149,BLURRY
2150,BOAK
2151,BOBCAT/
2152,BODYBAG
2153,"BOERKE, MAYOR"
2154,BOGATYR/MIKULA GOLUB
2155,"BOGGS, MORDECAI P."
2156,BOLERO/
2157,"BOLT, COUNCILMAN AND"
2158,BOLT II/CHRIS BRADLE
2159,BOLT/LAWRENCE EVANS
2160,BOMBADIER/
2161,BOMBLAST/
2162,BOMBSHELL/
2163,BOND
2164,BONEBREAKER/
2165,BONES/ELIZABETH BLIS
2166,BONITA
2167,BOOBYTRAP/
2168,BOOKWORM/NELSON GRUB
2169,BOOMERANG/FRED MYERS
2170,BOOMER/TABITHA SMITH
2171,BOOMSLANG/
2172,BOONE
2173,BORA
2174,BORAKU
2175,BORROB
2176,"BORROUGHS, CHARLES C"
2177,"BOSCO, ELAINE"
2178,BOSHLOVOR
2179,"BOUDREAUX, BELLA DON"
2180,"BOUDREAUX, MARIUS"
2181,BOULDER/
2182,BOUNCER
2183,BOUNTY
2184,BOUNTY II
2185,BOVA
2186,"BOWDEN, DENNIS"
2187,"BOWEN, FATHER MICHAE"
2188,"BOWMAN, MAJ."
2189,BOX II/JERRY JAXXON
2190,BOX IV/MADISON JEFFR
2191,BOX/ROGER BOCHS
2192,"BOYD, TWO-FISTED TOM"
2247,"BRADDOCK, ELIZABETH"
2248,"BRADDOCK, JAMES"
2249,"BRADDOCK, JAMES JR."
2250,"BRADDOCK, JOHN"
2251,"BRADLEY, CARRIE"
2252,"BRADLEY, HANK"
2253,"BRADLEY, JESSICA"
2254,BRAHAMS
2255,BRAHMANES
2256,BRAIN CELL/
2257,BRAINCHILD
2258,BRAIN DRAIN/WERNER S
2259,BRAINSTORM/
2260,BRAINY
2261,"BRAITHWAITE, JUDGE R"
2262,BRAMER
2263,"BRANDEIS, CAMMY"
2264,"BRANDEIS, LIZ PARRIS"
2265,"BRANDEIS, PROF. HENR"
2266,"BRANDT, ELLEN"
2267,"BRANNEX, ALLESSANDRO"
2268,BRANNEX
2269,BRANSON
2270,BRASS BISHOP/
2271,BRASS/SEAN WATANABE
2272,BRAWLER
2273,"BRAWN, HUNTER"
2274,"BRAWN, TRISTAN"
2275,BREAKER/RAAK
2276,BREEGAN
2277,BRES
2278,"BREWER, AMY"
2279,"BREWER, DR. MELINDA"
2280,"BRICKFORD, CLAY"
2281,"BRICKMAN, GLORIA"
2282,"BRICKMAN, SEN. MILES"
2283,"BRIDGE, GEORGE WASHI"
2284,"BRIGGS, AGENT"
2285,"BRIGGS, AGENT STEPHA"
2286,BRIGHTSWORD/CARTER D
2287,BRIGHTWIND
2288,"BRINKE, NIOMI"
2289,BRIQUETTE/
2290,BROADSIDE
2291,"BROGIN, BULL"
2292,BROKEN MAN
2293,BROKER
2294,BROMINE
2295,"BROMWELL, DR."
2296,BRONA
2297,"BROOKS, ANNA"
2298,BROOP
2299,BROTHER AXE
2300,BROTHER CAESAR
2301,BROTHER ROYAL
2302,BROTHERS GRIMM
2303,BROTHERS GRIMM II/BA
2304,BROTHER STEPHEN
2305,BROTHER TODE
2306,BROTHER VIRGIL
2307,BROTHER VOODOO/DANIE
2308,BROTHER VOODOO | MUT
2309,BROTHER WONDERFUL/DR
2310,"BROWN, ABE"
2311,"BROWN, FRANK"
2312,"BROWN, LAURA"
2313,"BROWN, MINDY MCPHERS"
2314,BROWSER
2315,"BRUKNER, DR. FRANK"
2316,"BRUKNER, ILANEY"
2317,BRUNNHILDE/MCM-XLI (
2318,BRUNO
2319,BRUTACUS
2320,BRUTE II/
2321,BRUTE | MUTANT X-VER
2322,BRUTE/REED RICHARDS
2323,BRUTO THE STRONGMAN/
2324,BRUTUS
2325,BRUTUS II
2326,BRUTUS KLOR
2327,"BRYCE, ARCHER"
2349,"BUCHANAN, SAM"
2350,"BUCHETTO, SALVATORE"
2351,"BUCHOVITZ, STANLEY &"
2352,"BUCKMAN, EDWARD"
2353,"BUCKNER, GRANT"
2354,BUCKY/BUCKY BARNES
2355,BUCKY II/FRED DAVIS
2356,BUCKY VI/
2357,BUCKY VII/RIKKI BARN
2358,BUEL
2359,BUG
2360,"BUKOWSKI, BUCK"
2361,BULLDOZER/HENRY CAMP
2362,BULLET BIKER
2363,BULLET
2364,BULL
2365,BULLSEYE
2366,BULLSEYE II/BENJAMIN
2367,BULLSEYE | MUTANT X-
2368,BULWARK/
2369,BUMPKIN
2370,"BUMPO, MR."
2371,"BUNYAN, PAUL"
2372,"BURGOS, CARL"
2373,"BURKE, GWYNETH"
2374,BURKE
2375,"BURKE, JACK"
2376,"BURKE, JOB"
2377,"BURKE, RICKY"
2378,"BURKE, THERESA TRACY"
2379,"BURLEY, MIKE"
2380,"BURLINGAME, CALVIN"
2381,BURNING PUDDLE
2382,"BURR, CLAYTON"
2383,"BURRTHROP, T. BARTON"
2384,BURST/
2385,"BUSH, GEORGE"
2386,"BUSHKIN, BARNEY"
2387,"BUSHMAN, RAOUL"
2388,BUSHMASTER II/QUINCY
2389,BUSHMASTER/JOHN MCIV
2390,BUSHWACKER/CARL
2391,"BUSIEK, KURT"
2392,BUTCH
2393,BUTTERFLY
2394,BUTTONS
2395,BUX
2396,BUZZARD
2397,BUZZ
2404,"BYRD, NATHANIEL ALEX"
2405,"BYRD, SEN. HARRINGTO"
2406,BYREL
2407,"BYRNE, JOHN"
2408,"BYRNES, GAYLE WATSON"
2409,"BYRNES, TIM"
2410,BYRRAH [ATLANTEAN]
2411,BYRRAH | HEROES REBO
2974,"CABE, BETHANY"
2975,CABER
2978,CACHE
2979,"CACHES, FABIAN"
2980,"CACHES, PROF. MARINA"
2986,CACTUS
2987,CADAVER
2988,CADMIUM
2989,CADUCEUS
2990,CAESAR
2991,"CAESAR, JONATHAN"
2992,"CAESAR, JULIUS"
3006,"CAGE, LUKE/CARL LUCA"
3007,"CAGLIOSTRO, ALESSAND"
3008,"CAIRN, DET."
3009,CALCULUS/JAHAHAREL P
3010,"CALDERONE, HANNAH"
3011,"CALDRONE, JAVIER"
3012,CALEDONIA/ALISANDE S
3013,CALIBAN/
3014,CALIFORNIUM
3015,"CALKIN, SUSAN"
3016,"CALLAGHAN, JAMES"
3017,"CALLAHAN, DANNY"
3018,"CALLAHAN, MIKE"
3019,CALLISTO
3020,CALLISTO | MUTANT X-
3021,CALUMET
3022,CALYPSO
3023,"CAMBRIDGE, MOXIE"
3025,"CAMPBELL, DR. RORY"
3026,"CAMPBELL, MEREDITH"
3027,"CAMPBELL, VALERIE"
3028,CANCELLATOR
3029,CANCER II/
3030,CANCER/JACK KLEVENO
3031,CANDLEMAS/
3032,"CANDLER, OWEN"
3033,CANDRA
3034,CANDY
3035,CANE/
3036,CANNONBALL II/SAM GU
3037,CANNONBALL/JACK PULV
3038,CANNONBALL/SAM GUTHR
3039,"CANTOR, VERA"
3040,CAPRICORN II/
3041,CAPRICORN/WILLARD WE
3043,CAPTAIN AMERICA DOPP
3044,CAPTAIN AMERICA
3045,CAPTAIN AMERICA IV/S
3046,CAPTAIN AMERICA | MU
3047,CAPTAIN AMERICA V/RO
3048,CAPTAIN BARRACUDA
3049,CAPTAIN BRITAIN 2013
3050,CAPTAIN BRITAIN/BRIA
3051,CAPTAIN FATE
3052,CAPTAIN GLORY
3053,CAPTAIN HAWK
3054,CAPTAIN HIP/FRED MAC
3055,CAPTAIN MANHATTAN
3056,CAPTAIN MARVEL/CAPTA
3057,CAPTAIN MARVEL III/G
3058,CAPTAIN MARVEL II/MO
3059,CAPTAIN POWER/DR. CH
3060,CAPTAIN RECTITUDE
3061,CAPTAIN TERROR/DAN K
3062,CAPTAIN U.K./LINDA M
3063,CAPTAIN ULTRA/GRIFFI
3064,CAPTAIN UNIVERSE/STE
3065,CAPTAIN WINGS/
3066,"CAPUTO, DR. JULIA"
3067,"CARBONE, JULIUS"
3068,"CARBONE, ROSALIE"
3069,"CARBONE, SALVATORE"
3070,CARBON
3071,"CARDENAS, PACO"
3072,CARDIAC/DR. ELI WIRT
3073,CARDINAL/CLEMDENON
3074,"CARDINALE, CARLOS"
3075,CAREGIVER/RUBANNA LA
3076,CARETAKER
3077,CARGIL/JOANNA CARGIL
3078,CARGO
3079,CARINA/CARINA WALTER
3080,"CARLISLE, JENNA"
3081,"CARLISLE, MELISSA BO"
3082,"CARLISLE, PHILLIP"
3083,"CARLTON, JAKE"
3084,"CARLTON, LUCY"
3085,CARLY
3086,"CARMODY, MARY"
3087,"CARMODY, MRS."
3088,CARNAGE/CLETUS KASAD
3089,CARNIVORE/COUNT ANDR
3090,"CARPATHIAN, ANDREW"
3091,"CARPENTER, LARRY"
3092,"CARPENTER, RACHEL"
3093,"CARRADINE, JESSICA J"
3094,"CARR, DAN"
3095,"CARRERA, MIA"
3096,CARRION
3097,CARRION III/DR. WILL
3098,CARRION II/MALCOLM M
3099,"CARSON, LT. PAUL"
3100,"CARTER, BRAD"
3101,"CARTER, JIMMY"
3102,"CARTER, PEGGY"
3103,"CARTER, SHARON"
3104,"CARTER, SHARON II"
3105,"CARTER, TAD"
3106,CARTHUS
3107,CARVER
3108,"CASE, COL. PRESTON"
3109,CASEY
3110,"CASIOLENA, QUEEN"
3126,CASPER
3127,"CASSADA, CARLOS"
3128,"CASSADA, MICHAEL"
3129,"CASSADA, ROBERTO"
3130,"CASSADA, ROSA"
3131,CASSANDRA
3132,CASSIOPEIA
3133,"CASS, LARRY MAD DOG"
3139,CATAPHRAX
3140,CAT BURGLAR
3141,CATHERWOOD
3142,CATHODE/
3143,CAT II
3144,CAT III/SHEN KUEI
3145,CAT IV
3146,CAT KING
3147,CAT MAN/HORGAN
3148,CAT MAN III/
3149,CATSEYE/SHARON SMITH
3150,CATWALK/KIMBERLY DEE
3151,"CAULDER, SAFRON"
3243,"CEAUSECU, IONEL"
3244,CELESTE
3245,"CELLANOS, MARCELLA"
3246,CENTARIUS
3247,CENTURIUS
